 * Serving Flask app 'app'
 * Debug mode: on
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.3.17:5000
Press CTRL+C to quit
127.0.0.1 - - [31/Mar/2026 15:50:52] "GET /export_data HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 15:51:02] "POST /login HTTP/1.1" 302 -
127.0.0.1 - - [31/Mar/2026 15:51:02] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 15:51:15] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [31/Mar/2026 15:51:27] "POST /login HTTP/1.1" 302 -
127.0.0.1 - - [31/Mar/2026 15:51:27] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 15:51:37] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [31/Mar/2026 15:52:27] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [31/Mar/2026 15:52:27] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 15:52:28] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [31/Mar/2026 15:52:28] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [31/Mar/2026 15:52:31] "POST /login HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 15:52:31] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [31/Mar/2026 15:52:35] "POST /login HTTP/1.1" 302 -
127.0.0.1 - - [31/Mar/2026 15:52:35] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 15:52:35] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [31/Mar/2026 15:53:05] "GET /admin/accounts HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 15:53:05] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [31/Mar/2026 15:53:15] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 15:53:15] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [31/Mar/2026 15:53:17] "GET /logout HTTP/1.1" 302 -
127.0.0.1 - - [31/Mar/2026 15:53:17] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 15:53:17] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [31/Mar/2026 15:53:21] "POST /login HTTP/1.1" 302 -
127.0.0.1 - - [31/Mar/2026 15:53:21] "GET /schedule HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 15:53:21] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [31/Mar/2026 15:53:50] "GET /logout HTTP/1.1" 302 -
127.0.0.1 - - [31/Mar/2026 15:53:50] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [31/Mar/2026 15:53:50] "GET /static/style.css HTTP/1.1" 304 -
